subject,predicate,object
James Madison,Born on,March 16, 1751
James Madison,Studied at,College of New Jersey
James Madison,Participated in,Constitutional Convention
James Madison,Served as,Secretary of State
James Madison,Inaugurated as,President of the United States
James Madison,Died at,Montpelier
James Madison,Rejected,Nullification
James Madison,Embraced,Interposition
Interposition,Involves,Public opinion, protests, petitions
Interposition,Focuses on,Constitutional conformity
Interposition,Not a sovereign act,But a tool for communication
Interposition,Used to,Oversee the workings of the national government
```
